	Triacylglycerol Profile (TG)																																																																																																																																																																																																																																																																																														
	Data are expressed as normalized intensities and constitute relative abundances per mg sample (relative to exactly measured internal standards).  																																																																																																																																																																																																																																																																																														
	The data can be used for direct comparison of individual metabolites between different samples as well as of different metabolites within the same sample.																																																																																																																																																																																																																																																																																														
	ND = not detected																																																																																																																																																																																																																																																																																														
																																																																																																																																																																																																																																																																																															
																																																																																																																																																																																																																																																																																															
		Normalized Intensities  (UNIT = Intensity / mg sample)																																																																																																																																																																																																																																																																																													
Sample ID		TG 29:0_25.10 | 2:0_2:0_25:0	TG 32:0_26.33 | 8:0_12:0_12:0	TG 32:0_26.69 | 4:0_12:0_16:0	TG 32:0_26.69 | 2:0_12:0_18:0	TG 32:0_26.69 | 8:0_8:0_16:0	TG 32:0_26.69 | 8:0_12:0_12:0	TG 32:0_26.69 | 2:0_14:0_16:0	TG 32:0_26.69 | 6:0_12:0_14:0	TG 32:0_27.62 | 2:0_2:0_28:0	TG 34:0_27.62 | 8:0_12:0_14:0	TG 34:0_27.62 | 10:0_12:0_12:0	TG 34:0_27.62 | 6:0_12:0_16:0	TG 34:0_27.62 | 2:0_16:0_16:0	TG 34:0_27.62 | 4:0_14:0_16:0	TG 34:0_27.62 | 8:0_10:0_16:0	TG 34:0_27.62 | 6:0_14:0_14:0	TG 34:0_28.39 | 2:0_2:0_30:0	TG 35:0_26.69	TG 35:0_28.10	TG 36:0_28.32 | 8:0_12:0_16:0	TG 36:0_28.32 | 6:0_14:0_16:0	TG 36:0_28.32 | 6:0_12:0_18:0	TG 36:0_28.32 | 4:0_16:0_16:0	TG 36:0_28.32 | 8:0_10:0_18:0	TG 36:0_28.32 | 2:0_16:0_18:0	TG 36:0_28.32 | 12:0_12:0_12:0	TG 36:1_27.78	TG 37:0_28.58 | 6:0_15:0_16:0	TG 37:1_26.35	TG 38:0_28.91 | 2:0_18:0_18:0	TG 38:0_28.91 | 12:0_12:0_14:0	TG 38:0_28.91 | 8:0_12:0_18:0	TG 38:0_28.91 | 4:0_16:0_18:0	TG 38:0_28.91 | 6:0_14:0_18:0	TG 38:0_28.91 | 8:0_14:0_16:0	TG 38:0_28.91 | 6:0_16:0_16:0	TG 38:0_28.91 | 10:0_12:0_16:0	TG 38:1_28.41 | 4:0_16:0_18:1	TG 38:1_28.41 | 8:0_12:0_18:1	TG 38:1_28.41 | 6:0_14:0_18:1	TG 38:4_27.01	TG 40:0_29.28 | 12:0_12:0_16:0	TG 40:0_29.28 | 12:0_14:0_14:0	TG 40:0_29.28 | 8:0_16:0_16:0	TG 40:0_29.28 | 6:0_16:0_18:0	TG 40:0_29.28 | 10:0_12:0_18:0	TG 40:1_28.82 | 10:0_12:0_18:1	TG 40:1_28.82 | 6:0_16:0_18:1	TG 40:2_28.37	TG 41:0_29.48 | 12:0_14:0_15:0	TG 41:0_29.48 | 13:0_14:0_14:0	TG 41:0_29.48 | 10:0_15:0_16:0	TG 41:0_29.48 | 12:0_13:0_16:0	TG 41:5_26.00	TG 41:6_26.48	TG 41:6_27.41	TG 42:0_29.80 | 12:0_14:0_16:0	TG 42:0_29.80 | 8:0_16:0_18:0	TG 42:0_29.80 | 10:0_16:0_16:0	TG 42:0_29.80 | 14:0_14:0_14:0	TG 42:0_29.80 | 12:0_12:0_18:0	TG 42:1_29.30 | 8:0_16:0_18:1	TG 42:1_29.30 | 12:0_12:0_18:1	TG 42:1_29.30 | 12:0_14:0_16:1	TG 42:1_29.30 | 10:0_14:0_18:1	TG 43:0_30.01 | 12:0_15:0_16:0	TG 43:0_30.01 | 14:0_14:0_15:0	TG 43:0_30.01 | 13:0_14:0_16:0	TG 43:0_30.01 | 10:0_16:0_17:0	TG 43:1_29.57 | 13:0_14:0_16:1	TG 43:1_29.57 | 12:0_15:0_16:1	TG 43:1_29.57 | 14:0_14:1_15:0	TG 43:1_29.57 | 14:0_14:0_15:1	TG 43:2_29.10	TG 43:5_28.30	TG 43:6_27.07	TG 44:0_30.35 | 12:0_16:0_16:0	TG 44:0_30.35 | 14:0_14:0_16:0	TG 44:0_30.35 | 14:0_15:0_15:0	TG 44:0_30.35 | 8:0_18:0_18:0	TG 44:1_29.82 | 12:0_16:0_16:1	TG 44:1_29.82 | 10:0_16:0_18:1	TG 44:1_29.82 | 12:0_14:0_18:1	TG 44:1_29.82 | 14:0_14:0_16:1	TG 44:1_29.82 | 8:0_18:0_18:1	TG 44:1_29.82 | 14:0_14:1_16:0	TG 44:2_29.32 | 12:0_16:1_16:1	TG 44:2_29.32 | 8:0_18:1_18:1	TG 44:6_27.07	TG 45:0_30.57 | 14:0_15:0_16:0	TG 45:1_30.08 | 14:0_15:0_16:1	TG 45:1_30.08 | 13:0_16:0_16:1	TG 45:1_30.08 | 14:0_15:1_16:0	TG 45:2_29.62 | 14:1_15:0_16:1	TG 45:2_29.62 | 14:0_15:1_16:1	TG 46:0_30.89 | 14:0_16:0_16:0	TG 46:0_30.89 | 15:0_15:0_16:0	TG 46:0_30.89 | 12:0_16:0_18:0	TG 46:0_30.89 | 14:0_15:0_17:0	TG 46:1_30.35 | 12:0_16:0_18:1	TG 46:1_30.35 | 14:0_16:0_16:1	TG 46:1_30.35 | 15:0_15:0_16:1	TG 46:2_29.83 | 12:0_16:1_18:1	TG 46:2_29.83 | 14:0_16:1_16:1	TG 46:2_29.83 | 14:1_16:0_16:1	TG 46:2_29.83 | 10:0_18:1_18:1	TG 46:2_29.83 | 12:0_16:0_18:2	TG 46:3_29.33 | 14:1_16:1_16:1	TG 46:4_28.92	TG 47:0_31.14 | 15:0_16:0_16:0	TG 47:0_31.14 | 14:0_16:0_17:0	TG 47:1_30.62 | 15:0_16:0_16:1	TG 47:1_30.62 | 14:0_16:1_17:0	TG 47:1_30.62 | 14:0_16:0_17:1	TG 47:2_30.14 | 15:0_16:1_16:1	TG 47:2_30.14 | 15:1_16:0_16:1	TG 47:2_30.14 | 14:0_16:1_17:1	TG 47:2_30.14 | 13:0_16:1_18:1	TG 47:3_29.64 | 15:1_16:1_16:1	TG 47:4_30.30	TG 48:0_31.46 | 16:0_16:0_16:0	TG 48:0_31.46 | 14:0_16:0_18:0	TG 48:0_31.46 | 15:0_16:0_17:0	TG 48:1_30.89 | 14:0_16:0_18:1	TG 48:1_30.89 | 16:0_16:0_16:1	TG 48:1_30.89 | 15:0_16:1_17:0	TG 48:1_30.89 | 12:0_18:0_18:1	TG 48:2_30.35 | 16:0_16:1_16:1	TG 48:2_30.35 | 14:0_16:1_18:1	TG 48:2_30.35 | 12:0_18:1_18:1	TG 48:3_29.82 | 16:1_16:1_16:1	TG 48:3_29.82 | 14:1_16:1_18:1	TG 48:6_27.14	TG 48:6_29.14	TG 49:0_31.73 | 16:0_16:0_17:0	TG 49:0_31.73 | 15:0_16:0_18:0	TG 49:1_31.16 | 15:0_16:0_18:1	TG 49:1_31.16 | 16:0_16:1_17:0	TG 49:1_31.16 | 16:0_16:0_17:1	TG 49:1_31.16 | 14:0_17:0_18:1	TG 49:1_31.16 | 15:0_16:1_18:0	TG 49:2_30.67 | 16:0_16:1_17:1	TG 49:2_30.67 | 15:0_16:1_18:1	TG 49:2_30.67 | 14:0_17:1_18:1	TG 49:2_30.67 | 16:1_16:1_17:0	TG 49:2_30.67 | 15:1_16:0_18:1	TG 49:3_30.10 | 16:1_16:1_17:1	TG 49:3_30.10 | 15:1_16:1_18:1	TG 49:5_28.30	TG 50:0_32.06 | 16:0_16:0_18:0	TG 50:1_31.44 | 16:0_16:0_18:1	TG 50:2_30.89 | 16:0_16:1_18:1	TG 50:2_30.89 | 16:0_16:0_18:2	TG 50:2_30.89 | 14:0_18:1_18:1	TG 50:3_30.35 | 16:1_16:1_18:1	TG 50:3_30.35 | 16:0_16:1_18:2	TG 51:0_32.36 | 16:0_17:0_18:0	TG 51:0_32.36 | 15:0_18:0_18:0	TG 51:0_32.36 | 15:0_16:0_20:0	TG 51:1_31.71 | 16:0_17:0_18:1	TG 51:1_31.71 | 15:0_18:0_18:1	TG 51:1_31.71 | 16:0_16:0_19:1	TG 51:2_31.17 | 16:0_17:1_18:1	TG 51:2_31.17 | 16:1_17:0_18:1	TG 51:2_31.17 | 15:0_18:1_18:1	TG 51:3_30.64 | 16:1_17:1_18:1	TG 51:3_30.64 | 15:1_18:1_18:1	TG 51:4_30.19	TG 52:0_32.67 | 16:0_18:0_18:0	TG 52:1_32.03 | 16:0_18:0_18:1	TG 52:2_31.44 | 16:0_18:1_18:1	TG 52:2_31.44 | 16:0_18:0_18:2	TG 52:3_30.89 | 16:1_18:1_18:1	TG 52:3_30.89 | 16:0_18:1_18:2	TG 52:4_30.42 | 16:1_18:1_18:2	TG 52:4_30.42 | 16:0_18:2_18:2	TG 52:5_30.01 | 16:1_18:1_18:3	TG 52:5_30.01 | 16:0_18:2_18:3	TG 53:0_30.44 | 16:0_18:0_19:0	TG 53:0_32.99 | 17:0_18:0_18:0	TG 53:0_32.99 | 14:0_15:0_24:0	TG 53:0_32.99 | 14:0_16:0_23:0	TG 53:0_32.99 | 16:0_16:0_21:0	TG 53:0_32.99 | 16:0_17:0_20:0	TG 53:0_32.99 | 16:0_18:0_19:0	TG 53:0_32.99 | 15:0_16:0_22:0	TG 53:2_31.75 | 17:0_18:1_18:1	TG 53:2_31.75 | 16:0_18:1_19:1	TG 53:3_31.17 | 17:1_18:1_18:1	TG 53:3_31.17 | 17:0_18:1_18:2	TG 53:4_30.67	TG 53:7_28.71	TG 54:0_33.32 | 18:0_18:0_18:0	TG 54:1_32.64 | 18:0_18:0_18:1	TG 54:2_32.02 | 18:0_18:1_18:1	TG 54:2_32.02 | 18:0_18:0_18:2	TG 54:3_31.42 | 18:1_18:1_18:1	TG 54:4_30.91 | 18:1_18:1_18:2	TG 54:5_30.16	TG 54:5_30.44 | 18:1_18:2_18:2	TG 54:5_30.44 | 18:1_18:1_18:3	TG 54:6_28.55	TG 54:6_30.00 | 18:2_18:2_18:2	TG 54:6_30.00 | 18:1_18:2_18:3	TG 54:7_29.60 | 18:2_18:2_18:3	TG 54:11_27.21	TG 54:11_28.73	TG 55:0_33.64 | 15:0_16:0_24:0	TG 55:0_33.64 | 14:0_16:0_25:0	TG 55:0_33.64 | 16:0_16:0_23:0	TG 55:0_33.64 | 14:0_15:0_26:0	TG 55:0_33.64 | 15:0_15:0_25:0	TG 55:5_27.96	TG 55:7_28.71	TG 55:7_29.19	TG 56:0_34.00 | 16:0_16:0_24:0	TG 56:0_34.00 | 15:0_16:0_25:0	TG 56:0_34.00 | 14:0_16:0_26:0	TG 56:0_34.00 | 18:0_18:0_20:0	TG 56:0_34.00 | 15:0_17:0_24:0	TG 56:0_34.00 | 16:0_18:0_22:0	TG 56:1_33.35 | 16:0_16:1_24:0	TG 56:1_33.35 | 16:1_20:0_20:0	TG 56:3_31.96 | 18:1_18:1_20:1	TG 56:6_28.42	TG 56:6_29.48	TG 56:9_27.96	TG 57:0_34.28 | 16:0_16:0_25:0	TG 57:0_34.28 | 15:0_16:0_26:0	TG 57:0_34.28 | 16:0_17:0_24:0	TG 57:5_28.42	TG 57:7_29.17	TG 57:7_29.66	TG 57:9_29.10	TG 58:0_34.70 | 16:0_16:0_26:0	TG 58:0_34.70 | 16:0_18:0_24:0	TG 58:0_34.70 | 16:0_17:0_25:0	TG 58:2_33.36 | 18:1_18:1_22:0	TG 58:6_31.51	TG 58:7_27.53	TG 58:9_28.42	TG 58:11_29.16	TG 58:11_29.69	TG 58:14_23.94	TG 58:14_24.51	TG 59:1_34.32	TG 59:7_28.71	TG 59:7_30.19	TG 60:2_34.00 | 16:1_18:1_26:0	TG 60:5_31.89	TG 60:6_32.03	TG 60:7_27.58	TG 60:7_28.71	TG 60:7_29.16	TG 60:14_23.94	TG 60:14_24.23	TG 60:14_26.37	TG 60:15_28.07	TG 61:5_28.42	TG 61:7_28.69	TG 61:7_29.17	TG 61:14_23.94	TG 61:14_24.48	TG 61:14_25.37	TG 61:14_27.62	TG 61:15_28.21	TG 62:7_27.48	TG 62:7_29.14	TG 62:7_29.66	TG 62:14_26.37	TG 62:15_28.53	TG 62:16_28.12	TG 63:7_27.55	TG 63:7_28.07	TG 63:7_29.16	TG 63:7_29.67	TG 63:15_28.64	TG 63:16_28.32	TG 64:7_28.10	TG 64:16_28.55	TG 65:16_28.85	TG 66:15_28.44	TG 67:16_29.26	TG 68:17_29.17	TG 68:18_28.44	TG 70:17_29.58
JWL0201		0.02	0.01	ND	0.00	0.00	0.00	ND	ND	ND	0.01	0.00	0.00	ND	0.00	ND	0.00	0.00	ND	0.00	0.04	0.04	0.01	ND	0.02	0.01	ND	ND	ND	ND	0.01	0.02	0.01	0.01	0.00	0.01	0.00	ND	ND	ND	ND	ND	0.01	0.01	0.01	0.00	0.00	ND	ND	ND	ND	ND	ND	ND	ND	0.00	ND	0.02	0.01	0.01	0.00	0.01	0.00	0.00	0.00	ND	0.01	0.01	0.01	ND	ND	ND	ND	ND	ND	0.33	0.02	0.04	0.04	0.02	0.01	0.00	0.00	ND	0.00	ND	ND	ND	ND	ND	0.09	0.01	0.01	ND	ND	ND	0.10	0.03	0.03	0.02	0.02	0.02	0.00	0.00	0.01	0.00	ND	ND	ND	ND	0.09	0.04	0.02	ND	ND	0.01	0.00	0.00	ND	ND	ND	0.00	ND	0.01	0.02	0.02	0.01	0.01	0.02	0.01	0.02	0.01	ND	0.01	0.00	0.06	0.03	0.02	0.01	0.01	ND	ND	0.01	0.01	ND	ND	ND	ND	ND	0.03	0.29	0.08	0.04	0.03	ND	0.02	0.01	0.03	ND	0.01	0.01	0.00	0.00	0.01	0.01	0.00	ND	ND	ND	0.25	0.04	0.07	0.03	0.02	0.04	0.01	0.02	ND	ND	0.01	0.01	ND	0.00	0.00	ND	ND	0.00	0.00	0.00	0.00	ND	ND	0.09	0.15	0.01	0.02	ND	0.08	0.05	ND	0.01	0.01	ND	0.01	0.01	0.00	ND	ND	0.01	0.00	ND	ND	ND	0.04	ND	0.06	0.01	0.00	0.00	0.00	ND	0.00	ND	ND	0.00	0.03	ND	0.01	0.00	0.00	0.00	0.25	ND	0.01	0.00	0.00	0.00	ND	ND	0.00	0.02	0.03	ND	ND	0.00	0.01	ND	ND	0.00	ND	ND	ND	ND	0.01	0.02	0.00	0.01	0.01	0.01	ND	ND	0.01	0.01	0.03	0.02	ND	ND	0.01	0.00	ND	0.00	0.01	0.00	ND	0.00	ND	ND	ND	ND	0.00	0.00	0.01	0.00	0.01	0.00	ND	0.00
JWL0202		0.02	0.01	0.00	0.00	0.00	ND	0.00	0.00	0.00	0.01	0.00	0.01	0.00	ND	0.00	0.00	0.00	0.00	ND	0.05	0.03	0.02	0.03	ND	0.01	0.01	0.00	0.00	ND	0.02	0.03	0.01	0.01	0.01	0.01	0.01	0.00	0.01	0.00	0.00	0.00	0.03	0.02	0.02	0.01	0.01	0.00	0.00	ND	0.00	0.00	0.00	0.00	ND	ND	ND	0.02	0.01	0.02	0.01	0.01	0.01	0.01	ND	0.00	0.01	0.01	0.01	ND	0.00	ND	0.00	ND	0.00	ND	0.09	0.11	0.05	ND	ND	0.01	0.01	0.01	0.01	0.00	0.00	ND	0.00	ND	0.09	0.02	0.01	0.01	ND	0.00	0.16	0.04	0.03	ND	0.06	0.04	ND	0.01	0.02	0.01	ND	ND	0.00	ND	0.09	0.04	0.05	0.01	ND	0.02	0.01	0.01	ND	0.01	ND	0.22	0.06	ND	0.06	0.05	0.02	ND	0.04	0.02	0.03	0.02	ND	ND	0.01	0.05	0.03	0.02	0.02	0.01	0.01	0.01	0.01	0.01	0.00	0.01	ND	0.01	0.01	0.05	0.31	0.18	0.09	0.02	0.02	0.03	ND	0.02	0.01	ND	0.01	0.00	0.00	0.01	0.01	0.01	0.01	0.00	0.00	0.29	0.13	0.19	0.10	0.04	0.07	0.01	0.03	ND	ND	ND	0.01	0.00	ND	0.00	0.00	ND	ND	0.01	0.00	0.01	0.00	0.00	ND	0.13	0.03	0.02	0.01	0.28	0.08	ND	0.01	0.02	ND	0.01	0.01	0.00	ND	ND	0.00	0.00	0.00	ND	0.00	ND	0.07	ND	0.01	0.00	0.00	0.00	0.00	ND	0.00	0.00	ND	ND	ND	ND	0.00	0.00	0.00	ND	0.02	0.02	0.00	0.00	0.00	ND	ND	ND	ND	0.00	0.00	ND	ND	ND	ND	ND	0.01	ND	0.00	0.00	ND	ND	ND	ND	ND	ND	0.01	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	0.01	ND	ND	ND	ND	ND	ND	ND	ND	0.00	0.01	ND	0.01	0.00	ND	0.00
